post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,226,29,WerWolv,2026-04-09 09:56:18,0.1277533039647577,True
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,295,305,chabons,2026-04-09 09:56:21,1.0304054054054055,True
47687273,Git commands I run before reading any code,technology,1882,401,grepsedawk,2026-04-09 09:56:24,0.21295804567180032,True
47699086,App Store sees 84% surge in new apps as AI coding tools take off,technology,11,6,gardaani,2026-04-09 09:56:26,0.5,False
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,273,49,chrsw,2026-04-09 09:56:27,0.17883211678832117,True
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,10,3,meribold,2026-04-09 09:56:29,0.2727272727272727,False
47696035,John Deere to pay $99M in right-to-repair settlement,technology,223,60,CharlesW,2026-04-09 09:56:31,0.26785714285714285,True
47696562,Show HN: Is Hormuz open yet?,entertainment,305,135,anonfunction,2026-04-09 09:56:33,0.4411764705882353,True
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under 2,technology,191,179,bundie,2026-04-09 09:56:34,0.9322916666666666,False
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,100,123,latchkey,2026-04-09 09:56:35,1.2178217821782178,False
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,technology,307,149,nickvec,2026-04-09 09:56:36,0.4837662337662338,True
47689237,US cities are axing Flock Safety surveillance technology,technology,664,390,giuliomagnifico,2026-04-09 09:56:37,0.5864661654135338,True
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,88,38,DamnInteresting,2026-04-09 09:56:40,0.42696629213483145,False
47689319,Show HN: Skrun – Deploy any agent skill as an API,technology,49,9,frizull,2026-04-09 09:56:46,0.18,False
47674606,Show HN: Unicode Steganography,technology,48,14,PatrickVuscan,2026-04-09 09:56:50,0.2857142857142857,False
47656518,Your File System Is Already A Graph Database,technology,164,71,alxndr,2026-04-09 09:56:52,0.4303030303030303,False
